,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,artist,song
55,0.649,0.716,-5.371,0.0349,0.0863,2.63e-05,0.135,0.163,99.988,0lYBSQXN6rCTvUZvg9S0lU,205947,DJ Snake,Let Me Love You
59,0.681,0.774,-3.167,0.0787,0.0992,0.0,0.35,0.267,102.924,4xhyvLnqhupa5rXLGvl815,162425,Dante Klein,Let Me Hold You (Turn Me On)
60,0.36,0.847,-3.931,0.109,0.223,0.00019,0.147,0.501,89.915,5UrPnFJOylrP6d909CJfKy,203000,Don Diablo,What We Started (feat. BullySongs)
61,0.602,0.834,-6.573,0.0358,0.0297,0.887,0.34,0.353,125.99,6Xe9wT5xeZETPwtaP2ynUz,338867,Avicii,Levels - Original Version
62,0.556,0.745,-4.254,0.0745,0.127,0.372,0.0954,0.426,122.035,1JXuUHHaUfjcyFqdHQDtmt,195000,Watermät,Bullit
63,0.597,0.685,-6.371,0.0367,0.0245,0.000335,0.182,0.369,122.002,0tDC3KJPPu5eonGTtCURpq,209208,Robin Schulz,Headlights (feat. Ilsey)
64,0.677,0.569,-10.833,0.0927,0.642,0.00119,0.509,0.288,100.06,18YIDJGWXocUPFbAzTaq8g,234093,Kygo,Serious (feat. Matt Corby)
65,0.606,0.67,-6.807,0.047,0.138,6.6e-06,0.354,0.212,119.96,59JreAiZzOF6pB8nIqEi20,237920,Kygo,Oasis (feat. Foxes)
69,0.55,0.689,-7.76,0.094,0.0498,0.0,0.207,0.408,99.904,2Vhd5uZB4brKHmM0MNxkZo,224487,Kygo,Raging (feat. Kodaline)
70,0.829,0.51,-9.334,0.0369,0.00821,0.00143,0.0829,0.45,119.994,1HFfMOxCAT4GAwaPfCdmUs,208133,Mr. Probz,Waves - Robin Schulz Radio Edit
71,0.792,0.717,-4.759,0.0393,0.0927,3.59e-05,0.226,0.466,121.985,1A8j067qyiNwQnZT0bzUpZ,195547,Kungs,This Girl (Kungs Vs. Cookin' On 3 Burners)
72,0.548,0.723,-6.002,0.0375,0.0969,1.28e-05,0.337,0.499,125.088,0CI422U7nhDLnk43s1BS1F,179960,Robin Schulz,Sun Goes Down (feat. Jasmine Thompson) - Radio Mix
73,0.76,0.886,-5.356,0.0258,0.0219,7.43e-06,0.623,0.78,123.002,7icHQ0UDRFe98tfvI0yyhL,189399,Lilly Wood and The Prick,Prayer in C - Robin Schulz Radio Edit
74,0.8,0.837,-3.663,0.111,0.00959,0.00187,0.0671,0.698,160.057,6JHbmDmSjTVb1I7XjQDB6I,237000,Good Times Ahead,Goons
75,0.741,0.732,-9.08,0.0641,3.7e-05,0.861,0.0676,0.237,126.01,3jJccLr8PP2B2k25Rj3CJm,460246,UMEK,Double The Lust
76,0.407,0.725,-5.346,0.188,0.0141,2.46e-06,0.306,0.247,196.093,57kR5SniQIbsbVoIjjOUDa,247267,DJ Snake,You Know You Like It
80,0.484,0.724,-4.633,0.0522,0.0736,0.0,0.0631,0.433,128.038,0GDVj31c8AxWXjWFzVFu0d,221280,Sebastian Ingrosso,Reload - Radio Edit
81,0.416,0.849,-4.909,0.0455,0.00864,0.000138,0.204,0.147,125.098,4KgWBRfUQtKIeFcdY4r1Lv,205440,Sebastian Ingrosso,Calling (Lose My Mind) - Radio Edit
82,0.741,0.814,-5.179,0.0304,0.0475,0.302,0.0936,0.681,126.021,39rCjMwNSGk7xeJ1zZRzuX,183433,Bob Sinclar,Cinderella (She Said Her Name) - Radio Edit
83,0.617,0.617,-6.941,0.122,3.97e-05,0.0598,0.253,0.517,127.996,4ua0IepBEISCWwF8dTJvcU,328253,deadmau5,Ghosts 'n' Stuff
84,0.672,0.962,-2.312,0.279,0.0154,0.000998,0.0686,0.566,149.956,6TMyMzJElI7gNtFmOSx8mZ,189835,Flosstradamus,Prison Riot
85,0.68,0.772,-5.995,0.0416,0.535,0.0153,0.147,0.376,105.005,7vqUr6K2Js9Paq4kdNSOm6,244510,Kygo,Here for You (feat. Ella Henderson)
86,0.64,0.635,-7.565,0.226,0.271,0.0,0.319,0.475,100.034,5masKPHeAOVNgxdLebIcK7,223187,Kygo,Stole the Show
87,0.723,0.957,-3.35,0.0785,0.00291,0.239,0.124,0.418,127.983,08ZcJN45zSSzemGG6FirCv,258750,Tujamo,All Night
88,0.448,0.856,-3.162,0.0537,0.0211,2e-05,0.2,0.511,127.977,5cImOblhS97lw6MvbPupUu,169102,R3HAB,Strong
89,0.657,0.981,-3.498,0.0365,0.0295,0.612,0.0577,0.563,128.004,4WgM2becr135oJ7DfVNaCd,200760,Tujamo,Booty Bounce - Radio Edit
90,0.743,0.962,-3.205,0.0629,0.00445,0.613,0.352,0.643,127.99,38imhzN6mhvRLULVCdwXNP,270000,Steve Aoki,Boneless
91,0.593,0.392,-6.872,0.0257,0.382,0.000114,0.131,0.25,75.065,3W2ZcrRsInZbjWylOi6KhZ,282813,Disclosure,You & Me - Flume Remix
92,0.673,0.788,-7.636,0.0566,0.0132,4.69e-05,0.104,0.408,122.978,7aVG4mx83UDaczEmz1N1g3,215124,Gorgon City,Saving My Life
93,0.793,0.688,-4.008,0.0386,0.00435,0.00477,0.199,0.502,124.985,5ZKqR1beprJ3wa6wGUwTWH,160560,Martin Solveig,Intoxicated - Radio Edit
94,0.506,0.805,-4.119,0.0469,0.00711,0.00193,0.0856,0.383,126.008,6Awg3vdlBZnLnVWBcyG0vW,227074,Galantis,Runaway (U & I)
95,0.523,0.782,-4.846,0.041,0.219,1.03e-05,0.133,0.164,125.998,1hZk9dktp4yRFTm0TrycuH,214813,OneRepublic,If I Lose Myself - Alesso vs OneRepublic
96,0.855,0.856,-2.574,0.105,0.000926,0.00271,0.959,0.516,127.989,5cR7culxUEPLhzIC0KWAH1,270054,Deorro,Perdoname (feat. DyCy & Adrian Delgado)
97,0.644,0.57,-6.994,0.052,0.484,0.0,0.299,0.527,113.945,2mCF8L0brIs88eH6Kf2h9p,212424,Jonas Blue,Fast Car
98,0.468,0.627,-5.085,0.0476,0.0281,7.97e-06,0.11,0.159,179.642,698ItKASDavgwZ3WjaWjtz,212107,Alan Walker,Faded
99,0.467,0.757,-3.01,0.0517,0.0866,0.0,0.0742,0.383,131.993,4b2tcjrG1qUkSdsqEFP2dB,254653,Axwell /\ Ingrosso,Sun Is Shining
100,0.648,0.736,-7.948,0.0385,0.0444,0.000137,0.171,0.378,103.027,7gBj0VgcuAgkXkiRRYvSmK,239465,Kygo,Stay (feat. Maty Noyes)
101,0.713,0.802,-7.055,0.0561,0.0435,0.00377,0.309,0.343,100.001,3vv9phIu6Y1vX3jcqaGz5Z,226739,The Chainsmokers,Roses
105,0.636,0.815,-5.098,0.0581,0.0185,0.0,0.163,0.636,123.063,5tf1VVWniHgryyumXyJM7w,219043,Robin Schulz,Sugar (feat. Francesco Yates)
106,0.664,0.714,-6.645,0.111,0.0353,8.42e-06,0.0843,0.71,101.969,0vbtURX4qv1l7besfwmnD8,197933,Mike Posner,I Took A Pill In Ibiza - Seeb Remix
110,0.583,0.695,-5.336,0.0423,0.0141,0.0,0.0527,0.224,104.879,0g5EKLgdKvNlln7TNqBByK,220573,DJ Snake,Middle
119,0.527,0.835,-5.298,0.0433,0.0166,0.0,0.249,0.654,125.983,0ct6r3EGTcMLPtrXHDvVjc,176658,Avicii,The Nights
120,0.532,0.783,-5.697,0.0523,0.0038,0.0012,0.161,0.643,124.08,0nrRP2bk19rLc0orkWPQk2,247427,Avicii,Wake Me Up
124,0.771,0.691,-7.593,0.0495,0.049,0.625,0.134,0.339,115.011,5TBsLU9TSxjDLzMpsEgJsv,299294,Sofi Tukker,Drinkee
